date,open,high,low,close,volume,pct_chg
2006-10-17,2623.58,2636.81,2589.06,2597.09,208.82,-1.32
2006-10-18,2591.69,2661.8,2587.66,2661.8,185.07,2.49
2006-10-19,2658.85,2683.09,2655.23,2662.75,202.03,0.04
2006-10-20,2661.35,2669.27,2632.48,2633.4,160.14,-1.1
2006-10-23,2629.23,2629.23,2488.77,2501.8,178.7,-5.0
2006-10-24,2504.11,2564.82,2504.11,2555.04,185.16,2.13
2006-10-25,2558.76,2570.15,2517.03,2539.5,184.1,-0.61
2006-10-26,2539.5,2539.5,2496.85,2502.67,122.91,-1.45
2006-10-27,2499.6,2507.69,2413.49,2416.95,163.54,-3.43
2006-10-30,2408.21,2414.12,2373.05,2407.59,122.65,-0.39
2006-10-31,2407.78,2473.34,2404.5,2471.74,168.84,2.66
2006-11-01,2470.88,2471.53,2438.23,2470.29,130.25,-0.06
2006-11-02,2472.96,2472.96,2422.08,2460.72,118.38,-0.39
2006-11-03,2457.37,2460.33,2438.03,2440.8,143.16,-0.81
2006-11-06,2425.7,2433.67,2409.57,2412.47,135.91,-1.16
2006-11-07,2408.96,2416.36,2348.52,2400.58,168.13,-0.49
2006-11-08,2398.22,2436.43,2382.66,2403.12,118.11,0.11
2006-11-09,2400.69,2423.47,2400.33,2423.47,97.99,0.85
2006-11-10,2420.63,2424.88,2355.46,2369.56,118.86,-2.23
2006-11-13,2362.41,2376.49,2251.09,2258.89,144.06,-4.67
2006-11-14,2257.79,2262.58,2190.28,2251.29,102.8,-0.34
2006-11-15,2248.47,2293.82,2238.11,2293.82,107.0,1.89
2006-11-16,2293.02,2304.35,2255.97,2257.88,125.29,-1.57
2006-11-17,2251.02,2305.7,2251.02,2305.65,107.23,2.12
2006-11-20,2306.86,2306.86,2262.46,2299.69,136.22,-0.26
2006-11-21,2295.77,2337.37,2286.32,2337.37,115.91,1.64
2006-11-22,2347.71,2389.41,2347.71,2358.58,158.52,0.91
2006-11-23,2354.65,2379.54,2346.69,2361.16,119.67,0.11
2006-11-24,2364.69,2387.97,2343.94,2387.05,113.55,1.1
2006-11-27,2395.41,2516.37,2395.41,2512.23,195.54,5.25
2006-11-28,2511.31,2521.84,2487.66,2497.59,153.55,-0.58
2006-11-29,2468.59,2563.53,2458.36,2562.58,192.12,2.6
2006-11-30,2562.67,2614.07,2562.67,2587.88,204.64,0.99
2006-12-01,2593.5,2632.95,2588.66,2626.81,204.2,1.5
2006-12-04,2626.17,2686.76,2626.17,2686.76,212.25,2.28
2006-12-05,2697.48,2697.48,2661.54,2672.9,196.45,-0.52
2006-12-06,2655.52,2670.5,2530.66,2604.57,231.12,-2.56
2006-12-07,2579.86,2599.81,2541.52,2541.52,201.07,-2.42
2006-12-08,2517.72,2521.25,2421.12,2421.12,179.24,-4.74
2006-12-11,2442.59,2498.5,2435.6,2498.5,112.37,3.2
2006-12-12,2506.0,2540.96,2477.93,2512.61,142.59,0.57
2006-12-13,2509.52,2509.52,2477.49,2508.42,97.3,-0.17
2006-12-14,2502.05,2565.58,2502.05,2562.41,128.37,2.15
2006-12-15,2574.74,2637.49,2573.85,2634.74,180.49,2.82
2006-12-18,2653.82,2698.27,2653.82,2691.86,179.44,2.17
2006-12-19,2692.56,2699.44,2618.53,2675.88,174.59,-0.59
2006-12-20,2645.08,2764.63,2645.08,2743.46,243.91,2.53
2006-12-21,2740.96,2753.36,2693.76,2693.76,185.66,-1.81
2006-12-22,2706.78,2709.55,2647.75,2667.49,143.43,-0.98
2006-12-25,2692.8,2709.04,2669.18,2693.23,147.77,0.97
2006-12-26,2696.74,2705.54,2642.54,2661.56,121.23,-1.18
2006-12-27,2661.56,2664.91,2642.42,2664.91,118.71,0.13
2006-12-28,2664.41,2673.5,2577.39,2597.51,147.59,-2.53
2006-12-29,2603.68,2624.25,2603.68,2614.97,129.81,0.67
2007-01-04,2623.93,2636.35,2606.15,2607.32,173.18,-0.29
2007-01-05,2600.79,2694.84,2600.79,2694.84,162.95,3.36
2007-01-08,2694.98,2836.51,2694.98,2836.04,217.31,5.24
2007-01-09,2841.34,2916.98,2841.34,2907.01,215.3,2.5
2007-01-10,2911.59,2978.57,2911.59,2978.57,237.45,2.46
2007-01-11,2983.39,3053.05,2959.88,2979.14,328.41,0.02
2007-01-12,2964.07,3009.0,2858.33,2860.32,251.58,-3.99
2007-01-15,2852.27,3032.89,2852.27,3032.89,227.23,6.03
2007-01-16,3052.38,3239.4,3052.38,3239.4,329.68,6.81
2007-01-17,3247.7,3305.42,3143.81,3208.95,350.87,-0.94
2007-01-18,3201.12,3272.51,3137.82,3267.34,232.65,1.82
2007-01-19,3294.31,3447.68,3294.31,3447.68,343.51,5.52
2007-01-22,3456.02,3584.5,3456.02,3584.35,351.21,3.96
2007-01-23,3604.31,3604.31,3441.3,3552.68,314.11,-0.88
2007-01-24,3550.03,3594.2,3497.0,3564.42,298.9,0.33
2007-01-25,3525.38,3525.38,3376.72,3380.26,244.34,-5.17
2007-01-26,3337.58,3399.98,3203.95,3392.68,219.11,0.37
2007-01-29,3407.57,3496.1,3407.57,3496.1,252.67,3.05
2007-01-30,3528.17,3610.57,3515.93,3590.17,341.58,2.69
2007-01-31,3617.66,3620.53,3389.3,3396.74,331.16,-5.39
2007-02-01,3342.33,3409.87,3312.3,3384.84,203.3,-0.35
2007-02-02,3417.94,3435.09,3336.25,3339.53,240.59,-1.34
2007-02-05,3330.38,3463.22,3330.38,3447.46,227.34,3.23
2007-02-06,3470.46,3553.11,3406.12,3536.85,251.68,2.59
2007-02-07,3549.58,3674.98,3549.58,3664.44,289.99,3.61
2007-02-08,3693.19,3772.53,3693.19,3740.75,270.85,2.08
2007-02-09,3763.59,3803.14,3746.21,3767.25,243.79,0.71
2007-02-12,3741.86,3796.98,3707.78,3796.98,229.73,0.79
2007-02-13,3802.55,3802.55,3745.99,3781.02,209.45,-0.42
2007-02-14,3781.02,3866.34,3781.02,3860.21,208.37,2.09
2007-02-15,3880.1,4004.04,3876.74,3999.6,250.0,3.61
2007-02-16,4022.3,4076.86,3987.46,4040.43,219.86,1.02
2007-02-26,4059.5,4103.58,4020.54,4094.41,237.88,1.34
2007-02-27,4115.77,4156.8,3737.8,3739.73,408.07,-8.66
2007-02-28,3708.17,3881.79,3708.17,3874.01,274.27,3.59
2007-03-01,3903.23,3903.23,3716.27,3777.58,289.2,-2.49
2007-03-02,3780.42,3908.92,3780.42,3859.21,315.36,2.16
2007-03-05,3876.22,3939.89,3756.74,3934.13,362.76,1.94
2007-03-06,3921.97,3954.21,3873.61,3946.38,226.69,0.31
2007-03-07,3955.24,4031.04,3955.24,4030.53,228.24,2.13
2007-03-08,4050.21,4089.48,4030.31,4078.26,230.42,1.18
2007-03-09,4086.51,4086.51,3962.96,3989.74,269.36,-2.17
2007-03-12,3990.26,3990.26,3901.2,3985.89,237.35,-0.1
2007-03-13,3989.25,4036.81,3956.06,4030.64,228.5,1.12
2007-03-14,3995.48,4053.76,3900.15,4042.62,281.74,0.3
2007-03-15,4029.27,4122.08,4029.27,4102.05,221.05,1.47
2007-03-16,4115.59,4137.99,4000.17,4025.67,280.96,-1.86
2007-03-19,3920.42,4130.4,3920.42,4130.4,233.93,2.6
