exchange,code,name,full_name,short_name,company_full_name,list_date,board
SH,600192,长城电工,长城电工,长城电工,兰州长城电工股份有限公司,1998-12-24,主板
SH,600193,*ST创兴,*ST创兴,*ST创兴,上海创兴资源开发股份有限公司,1999-05-27,主板
SH,600195,中牧股份,中牧股份,中牧股份,中牧实业股份有限公司,1999-01-07,主板
SH,600196,复星医药,复星医药,复星医药,上海复星医药(集团)股份有限公司,1998-08-07,主板
SH,600197,伊力特,伊力特,伊力特,新疆伊力特实业股份有限公司,1999-09-16,主板
SH,600198,大唐电信,大唐电信,大唐电信,大唐电信科技股份有限公司,1998-10-21,主板
SH,600199,金种子酒,金种子酒,金种子酒,安徽金种子酒业股份有限公司,1998-08-12,主板
SH,600201,生物股份,生物股份,生物股份,金宇生物技术股份有限公司,1999-01-15,主板
SH,600202,哈空调,哈空调,哈空调,哈尔滨空调股份有限公司,1999-06-03,主板
SH,600203,福日电子,福日电子,福日电子,福建福日电子股份有限公司,1999-05-14,主板
SH,600206,有研新材,有研新材,有研新材,有研新材料股份有限公司,1999-03-19,主板
SH,600207,安彩高科,安彩高科,安彩高科,河南安彩高科股份有限公司,1999-07-14,主板
SH,600208,衢州发展,衢州发展,衢州发展,衢州信安发展股份有限公司,1999-06-23,主板
SH,600210,紫江企业,紫江企业,紫江企业,上海紫江企业集团股份有限公司,1999-08-24,主板
SH,600211,西藏药业,西藏药业,西藏药业,西藏诺迪康药业股份有限公司,1999-07-21,主板
SH,600212,绿能慧充,绿能慧充,绿能慧充,绿能慧充数字能源技术股份有限公司,1999-08-17,主板
SH,600215,派斯林,派斯林,派斯林,派斯林数字科技股份有限公司,1999-09-09,主板
SH,600216,浙江医药,浙江医药,浙江医药,浙江医药股份有限公司,1999-10-21,主板
SH,600217,中再资环,中再资环,中再资环,中再资源环境股份有限公司,1999-12-16,主板
SH,600218,全柴动力,全柴动力,全柴动力,安徽全柴动力股份有限公司,1998-12-03,主板
SH,600219,南山铝业,南山铝业,南山铝业,山东南山铝业股份有限公司,1999-12-23,主板
SH,600221,海航控股,海航控股,海航控股,海南航空控股股份有限公司,1999-11-25,主板
SH,600222,太龙药业,太龙药业,太龙药业,河南太龙药业股份有限公司,1999-11-05,主板
SH,600223,福瑞达,福瑞达,福瑞达,鲁商福瑞达医药股份有限公司,2000-01-13,主板
SH,600226,亨通股份,亨通股份,亨通股份,浙江亨通控股股份有限公司,1999-11-16,主板
SH,600227,赤天化,赤天化,赤天化,贵州赤天化股份有限公司,2000-02-21,主板
SH,600228,*ST返利,*ST返利,*ST返利,返利网数字科技股份有限公司,1999-01-19,主板
SH,600229,城市传媒,城市传媒,城市传媒,青岛城市传媒股份有限公司,2000-03-09,主板
SH,600230,沧州大化,沧州大化,沧州大化,沧州大化股份有限公司,2000-04-06,主板
SH,600231,凌钢股份,凌钢股份,凌钢股份,凌源钢铁股份有限公司,2000-05-11,主板
SH,600232,金鹰股份,金鹰股份,金鹰股份,浙江金鹰股份有限公司,2000-06-02,主板
SH,600233,圆通速递,圆通速递,圆通速递,圆通速递股份有限公司,2000-06-08,主板
SH,600234,科新发展,科新发展,科新发展,山西科新发展股份有限公司,2000-06-15,主板
SH,600235,民丰特纸,民丰特纸,民丰特纸,民丰特种纸股份有限公司,2000-06-15,主板
SH,600236,桂冠电力,桂冠电力,桂冠电力,广西桂冠电力股份有限公司,2000-03-23,主板
SH,600237,铜峰电子,铜峰电子,铜峰电子,安徽铜峰电子股份有限公司,2000-06-09,主板
SH,600238,*ST椰岛,*ST椰岛,*ST椰岛,海南椰岛(集团)股份有限公司,2000-01-20,主板
SH,600239,ST云城,ST云城,ST云城,云南城投置业股份有限公司,1999-12-02,主板
SH,600241,时代万恒,时代万恒,时代万恒,辽宁时代万恒股份有限公司,2000-11-28,主板
SH,600243,*ST海华,*ST海华,*ST海华,青海华鼎实业股份有限公司,2000-11-20,主板
SH,600246,万通发展,万通发展,万通发展,北京万通新发展集团股份有限公司,2000-09-22,主板
SH,600248,陕建股份,陕建股份,陕建股份,陕西建工集团股份有限公司,2000-06-22,主板
SH,600249,两面针,两面针,两面针,柳州两面针股份有限公司,2004-01-30,主板
